=== [DEBUG] Vertices (228 total) ===
[  154] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  155] Pos(  0.2237,  -0.6846,   0.3897)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  156] Pos( -0.2275,   1.1200,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  157] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  158] Pos( -0.2275,   1.1200,   1.6028)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  159] Pos( -0.2274,   0.5515,   0.3845)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  160] Pos( -0.2274,  -0.0668,   0.3986)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  161] Pos( -0.2274,  -0.1298,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  162] Pos( -0.2275,  -0.3403,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  163] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  164] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  165] Pos( -0.2275,  -0.3403,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  166] Pos( -0.2275,  -0.7455,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  167] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  168] Pos(  0.2237,   0.5515,   0.3845)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  169] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  170] Pos(  0.2237,   0.6341,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  171] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  172] Pos(  0.2237,   0.5515,   0.3845)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  173] Pos(  0.2237,  -0.1298,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  174] Pos(  0.2324,  -0.3052,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  175] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  176] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  177] Pos(  0.2324,  -0.3052,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  178] Pos(  0.2324,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  179] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  180] Pos( -0.2275,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  181] Pos( -0.2275,  -0.3403,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  182] Pos( -0.2275,   1.1200,   1.6028)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  183] Pos(  0.2324,  -0.7455,   2.8431)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  184] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  185] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  186] Pos(  0.2324,  -0.7455,   2.8431)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  187] Pos(  0.2324,  -0.3403,   2.8431)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  188] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  189] Pos(  0.2324,  -0.3052,   1.1338)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  190] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  191] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  192] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  193] Pos(  0.2237,  -0.1298,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  194] Pos(  0.2237,  -0.7312,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  195] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  196] Pos(  0.2237,  -0.6846,   0.3897)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  197] Pos(  0.2237,  -0.7312,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  198] Pos(  0.2324,  -0.2945,   2.2979)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  199] Pos(  0.2324,   1.1200,   1.6028)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  200] Pos(  0.2324,  -0.3403,   2.8431)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  201] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  202] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  203] Pos( -0.2275,  -0.3052,   1.1338)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  204] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  205] Pos( -0.2275,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
